Séance,ISIN.,Val.,Ouv.,Clô.,+ haut,+ bas,CMP,Nb. Tr.,Qté,Cap.
05/02/2026,TN0002200053,BT,6.93,6.99,6.99,6.9,6.942,101,70224,487466.84
05/02/2026,TN0003100609,BNA,13.47,13.35,13.48,13.25,13.352,103,18943,252933.2
05/02/2026,TN0001800457,BIAT,128.52,129.85,129.9,128.52,129.415,34,922,119320.23
05/02/2026,TN0001900604,BH BANK,10.25,10.25,10.25,10.25,10.25,6,1783,18275.75
05/02/2026,TN0006610018,ATTIJARI LEASING,31.32,31.32,31.32,30.7,30.81,20,1312,40423.04
05/02/2026,TN0001600154,ATTIJARI BANK,68.9,68.5,68.9,68.5,68.542,43,3864,264844.6
05/02/2026,TN0004700100,ATL,7.65,8.15,8.16,7.55,7.729,62,39066,301941.24
05/02/2026,TN0007740012,ATELIER MEUBLE INT,4.35,4.25,4.35,4.22,4.231,43,32084,135752.73
05/02/2026,TN0003600350,ATB,3.6,3.6,3.65,3.6,3.6,13,8240,29664.1
05/02/2026,TN0007140015,ASSAD,3.2,3.2,3.2,3.2,3.2,21,10550,33760
05/02/2026,TN0007830011,ASSUR MAGHREBIA,59.6,59.8,59.8,59.6,59.616,20,3775,225050
05/02/2026,TN0007300015,ARTES,12.67,12.99,13.1,12.67,12.919,58,8829,114065.72
05/02/2026,TNDKJ8O68X14,ASSU MAGHREBIA VIE,7.5,7.77,7.77,7.5,7.575,59,12073,91450.37
05/02/2026,TN0003400058,AMEN BANK,55.9,56.48,56.48,55.9,56.156,111,9998,561444.53
04/02/2026,TN0005030010,STIP,0,0,0,0,0,0,0,0
04/02/2026,TN0007600018,SOTEMAIL,0,0,0,0,0,0,0,0
04/02/2026,TN0007650013,TAWASOL GP HOLDING,0.83,0.83,0.83,0.83,0.83,46,73837,61284.71
04/02/2026,TN0007730013,SANIMED,0.72,0.72,0.72,0.72,0.72,2,300,216
04/02/2026,TN0007700016,OFFICEPLAST,2.2,2.24,2.24,2.16,2.215,165,59986,132874.21
